user_id,selfie_link_id_1,selfie_link_id_2,selfie_link_id_3,missing_count
10004,10004_00000385-0016-4568-8124-F8F005C202E4,10004_00000633-0016-8931-2007-F8F005C202E4,,1
10014,10014_00000825-0016-1972-0089-F8F005C1C48C,10014_00001950-0016-8866-2931-F8F005C1C48C,,1
10031,10031_2020-06-04 16:00:00,10031_00000093-0016-1618-0288-F8F005C20C6C,,1
10117,10117_00000397-0016-3728-1971-F8F005C20830,10117_00000768-0016-8454-3402-F8F005C20830,,1
10152,10152_2020-05-14 13:00:00,10152_2020-06-16 22:00:00,,1
10156,10156_2020-05-08 08:00:00,10156_2020-06-16 09:00:00,,1
10298,10298_2020-05-29 14:00:00,10298_2020-06-09 16:00:00,,1
10342,10342_2020-05-17 13:00:00,10342_2020-06-02 15:00:00,,1
10361,10361_2020-05-09 00:00:00,10361_2020-06-14 04:00:00,,1
10363,10363_2020-05-07 14:00:00,10363_2020-06-16 14:00:00,,1
10472,10472_2020-05-13 13:00:00,10472_2020-06-14 13:00:00,,1
10485,10485_2020-06-08 17:00:00,10485_2020-06-15 01:00:00,,1
10625,10625_2020-06-16 03:00:00,10625_2020-06-17 04:00:00,,1
10662,10662_2020-05-27 16:00:00,10662_2020-06-01 15:00:00,,1
1067,1067_00001120-0016-1259-9036-F8F00528B38D,1067_00001862-0016-6859-5632-F8F00528B38D,,1
10689,10689_2020-06-01 13:00:00,10689_2020-06-15 22:00:00,,1
10736,10736_2020-06-10 15:00:00,10736_2020-06-13 16:00:00,,1
10737,10737_2020-05-17 03:00:00,10737_2020-06-16 04:00:00,,1
10875,10875_2020-06-05 13:00:00,10875_2020-06-14 14:00:00,,1
10909,10909_2020-05-31 07:00:00,10909_2020-06-15 09:00:00,,1
11025,11025_2020-06-14 19:00:00,11025_2020-06-16 10:00:00,,1
11031,11031_2020-06-13 23:00:00,11031_2020-06-16 03:00:00,,1
11092,11092_2020-06-11 14:00:00,11092_2020-06-17 01:00:00,,1
11226,11226_00000426-0016-1323-5617-F8F005C2054D,11226_00000776-0016-8930-8052-F8F005C2054D,,1
11234,11234_00001041-0016-3878-9040-F8F005C205C1,11234_00001476-0016-8896-5362-F8F005C205C1,,1
11240,11240_00000424-0016-1180-8858-F8F005C2072F,11240_00000438-0016-1876-2356-F8F005C2072F,,1
11269,11269_00000111-0016-0500-9748-F8F005C1F870,11269_00000221-0016-0986-1753-F8F005C1F870,,1
11303,11303_00000488-0016-0872-9600-F8F005C1FA1F,11303_00000543-0016-1149-6072-F8F005C1FA1F,,1
11319,11319_00000438-0016-1481-4746-F8F005C1F8AF,11319_00000476-0016-2181-2375-F8F005C1F8AF,,1
11353,11353_00000074-0016-6109-0955-F8F005C20548,11353_00000117-0016-8787-4351-F8F005C20548,,1
11354,11354_00000348-0016-1227-5210-F8F005C1FA69,11354_00000356-0016-6227-6106-F8F005C1FA69,,1
11410,11410_00000246-0016-0995-6868-F8F005C207C5,11410_00000215-0016-7236-9710-F8F005C206F7,,1
11441,11441_00000171-0016-3085-4130-F8F005C208A8,11441_00000334-0016-8079-3949-F8F005C208A8,,1
