,user_id,selfie_link_id_1,selfie_link_id_2,selfie_link_id_3,missing_count
0,10004,10004_00000385-0016-4568-8124-F8F005C202E4,10004_00000633-0016-8931-2007-F8F005C202E4,,1
2,10014,10014_00000825-0016-1972-0089-F8F005C1C48C,10014_00001950-0016-8866-2931-F8F005C1C48C,,1
7,10031,10031_2020-06-04 16:00:00,10031_00000093-0016-1618-0288-F8F005C20C6C,,1
35,10117,10117_00000397-0016-3728-1971-F8F005C20830,10117_00000768-0016-8454-3402-F8F005C20830,,1
48,10152,10152_2020-05-14 13:00:00,10152_2020-06-16 22:00:00,,1
49,10156,10156_2020-05-08 08:00:00,10156_2020-06-16 09:00:00,,1
80,10196,10196_2020-06-07 13:00:00,10196_2020-06-16 22:00:00,,1
144,10298,10298_2020-05-29 14:00:00,10298_2020-06-09 16:00:00,,1
157,10322,10322_2020-06-06 01:00:00,10322_2020-06-16 22:00:00,,1
168,10342,10342_2020-05-17 13:00:00,10342_2020-06-02 15:00:00,,1
181,10361,10361_2020-05-09 00:00:00,10361_2020-06-14 04:00:00,,1
183,10363,10363_2020-05-07 14:00:00,10363_2020-06-16 14:00:00,,1
225,10460,10460_2020-05-17 08:00:00,10460_2020-06-16 00:00:00,,1
233,10472,10472_2020-05-13 13:00:00,10472_2020-06-14 13:00:00,,1
241,10485,10485_2020-06-08 17:00:00,10485_2020-06-15 01:00:00,,1
256,10521,10521_2020-05-23 13:00:00,10521_2020-06-16 20:00:00,,1
260,10534,10534_2020-05-25 02:00:00,10534_2020-06-16 11:00:00,,1
272,10554,10554_2020-06-04 21:00:00,10554_2020-06-16 09:00:00,,1
294,10625,10625_2020-06-16 03:00:00,10625_2020-06-17 04:00:00,,1
316,10662,10662_2020-05-27 16:00:00,10662_2020-06-01 15:00:00,,1
321,1067,1067_00001120-0016-1259-9036-F8F00528B38D,1067_00001862-0016-6859-5632-F8F00528B38D,,1
333,10689,10689_2020-06-01 13:00:00,10689_2020-06-15 22:00:00,,1
355,10736,10736_2020-06-10 15:00:00,10736_2020-06-13 16:00:00,,1
356,10737,10737_2020-05-17 03:00:00,10737_2020-06-16 04:00:00,,1
427,10854,10854_2020-06-11 04:00:00,10854_2020-06-15 06:00:00,,1
441,10875,10875_2020-06-05 13:00:00,10875_2020-06-14 14:00:00,,1
454,10909,10909_2020-05-31 07:00:00,10909_2020-06-15 09:00:00,,1
489,10979,10979_2020-06-12 10:00:00,10979_2020-06-16 00:00:00,,1
510,11025,11025_2020-06-14 19:00:00,11025_2020-06-16 10:00:00,,1
513,11031,11031_2020-06-13 23:00:00,11031_2020-06-16 03:00:00,,1
518,11040,11040_2020-06-13 00:00:00,11040_2020-06-16 22:00:00,,1
546,11092,11092_2020-06-11 14:00:00,11092_2020-06-17 01:00:00,,1
567,11222,11222_00000189-0016-0492-8818-F8F005C206A8,11222_00000203-0016-0608-8277-F8F005C206A8,,1
